OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
6b92e314-9c4d-4c73-a0c5-99749d8b3b08,BTC-NBT,LIMIT_SELL,8.61786131,0.00058662,0.00001263,0.0050554,5/16/2017 8:15:30 AM,5/16/2017 8:20:32 AM
2dc1783b-31ec-4db2-88bf-569917f51102,BTC-NBT,LIMIT_SELL,2.35695951,0.00058388,0.00000344,0.00137618,5/16/2017 9:01:14 AM,5/16/2017 9:10:22 AM
5f0d48cd-2930-41b6-8ab3-1124739a0969,BTC-NBT,LIMIT_BUY,184.20592073,0.00047615,0.00021927,0.08770964,5/27/2017 6:19:02 PM,5/27/2017 6:39:20 PM
099a3a98-d35e-4fc6-82c7-e57c0cb12d8d,BTC-NBT,LIMIT_SELL,3.39535727,0.00058147,0.00000493,0.00197585,5/16/2017 9:15:28 AM,5/16/2017 9:25:38 AM
e0413856-99e1-4b6d-ba47-22e1ff2c7ebf,BTC-NBT,LIMIT_SELL,0.86210737,0.00058357,0.00000125,0.00050309,5/16/2017 9:25:38 AM,5/16/2017 9:40:53 AM
6fba0a02-1cad-4658-97b3-c8d275d03cfd,BTC-NBT,LIMIT_SELL,25000,0.0004787,0.02991875,11.9675,5/27/2017 8:14:15 PM,5/27/2017 8:18:58 PM
e3a6b31b-f258-442f-bd12-dff973d5e9dd,BTC-NBT,LIMIT_SELL,46.42580045,0.0004787,0.00005556,0.02222403,5/27/2017 8:18:59 PM,5/27/2017 8:24:03 PM
06b335ec-3974-4164-864d-f6a2fc26007d,BTC-NBT,LIMIT_BUY,5896.59696931,0.00057356,0.00845513,3.38205215,5/16/2017 10:40:52 AM,5/16/2017 10:45:56 AM
f019eb79-6eab-4ef0-a4ea-b5d8fbf4b139,BTC-NBT,LIMIT_SELL,0.89447544,0.00057461,0.00000129,0.00051655,5/16/2017 10:45:57 AM,5/16/2017 10:51:01 AM
2bcf4b32-73ec-42cc-ad89-8f4516d75c68,BTC-NBT,LIMIT_BUY,0.95781299,0.00057915,0.00000138,0.00055351,5/16/2017 11:30:43 AM,5/16/2017 11:35:46 AM
fb751596-9d10-4ebf-928c-445193ed387d,BTC-NBT,LIMIT_SELL,1.48050634,0.00058005,0.00000214,0.00085876,5/16/2017 12:25:35 PM,5/16/2017 12:30:39 PM
2fd285cc-e3c2-46cf-a86d-6c3d1f8beb11,BTC-NBT,LIMIT_SELL,175.99591773,0.00057811,0.00025436,0.10174499,5/16/2017 1:25:35 PM,5/16/2017 1:35:44 PM
3eead34e-6ff9-493c-b006-13fa1168a5d1,BTC-NBT,LIMIT_SELL,79.63612375,0.0005687,0.00011322,0.04528906,5/16/2017 3:35:43 PM,5/16/2017 3:40:51 PM
c09cc3be-a04f-41d4-a2d2-a2774db5ac6d,BTC-NBT,LIMIT_SELL,175.39386693,0.00056872,0.00024937,0.09975,5/16/2017 3:56:01 PM,5/16/2017 4:01:06 PM
8a372e0b-6dee-4338-a1dd-0e8803cdeb2d,BTC-NBT,LIMIT_SELL,6.14433354,0.00056296,0.00000868,0.00347858,5/16/2017 4:06:13 PM,5/16/2017 4:11:16 PM
1cb9c58d-a007-4a7d-824f-30a794c87aa4,BTC-NBT,LIMIT_SELL,1.59572921,0.00056729,0.00000226,0.00090524,5/16/2017 4:15:21 PM,5/16/2017 4:20:25 PM
c9acdc86-de07-4c62-99b2-9569bd2e225c,BTC-NBT,LIMIT_SELL,2.242294,0.00057084,0.0000032,0.00128021,5/16/2017 5:25:30 PM,5/16/2017 5:30:35 PM
e417478c-8352-4c9a-89dd-978c3bd32eb8,BTC-NBT,LIMIT_SELL,1951.23348305,0.00056504,0.0027639,1.105564,5/16/2017 5:30:36 PM,5/16/2017 5:35:40 PM
1dcef9c4-89ee-4bfb-a577-26dbfc708c3f,BTC-NBT,LIMIT_BUY,0.28042393,0.00056026,0.00000039,0.00015711,5/16/2017 5:56:02 PM,5/16/2017 6:01:05 PM
d2578fc8-9968-4c7f-a5a6-632dba611435,BTC-NBT,LIMIT_SELL,209.39318049,0.00048413,0.00025431,0.10172948,5/28/2017 12:24:00 AM,5/28/2017 12:41:14 AM
ca502c4c-b03f-4427-8138-452b4d38b014,BTC-NBT,LIMIT_SELL,34.7404648,0.00056728,0.00004929,0.01972159,5/16/2017 6:11:14 PM,5/16/2017 6:20:23 PM
d46fefd4-9b4a-45ad-9a45-a570fec96417,BTC-NBT,LIMIT_SELL,91.813114,0.00056684,0.0001302,0.0520847,5/16/2017 8:06:07 PM,5/16/2017 8:11:12 PM
9842e971-557b-43e7-9c3e-dfc035db23e5,BTC-NBT,LIMIT_BUY,1.813114,0.00057209,0.00000258,0.00103563,5/16/2017 9:20:22 PM,5/16/2017 9:30:31 PM
680ca552-1907-4414-a347-bb3ee93106a8,BTC-NBT,LIMIT_BUY,2.84003,0.00057611,0.00000408,0.00163588,5/16/2017 10:13:30 PM,5/16/2017 10:15:31 PM
bbc6d376-0a81-4d32-85c8-55d93fd858d9,BTC-NBT,LIMIT_SELL,11.7,0.0005765,0.00001686,0.00674505,5/16/2017 10:20:37 PM,5/16/2017 10:25:41 PM
c9d4fb71-7100-4fc4-8324-ad824150f7f5,BTC-NBT,LIMIT_BUY,473.98541653,0.00058843,0.00069355,0.27742805,5/17/2017 12:35:51 AM,5/17/2017 12:40:55 AM
014878ee-8ee0-4256-bf22-4880ad975143,BTC-NBT,LIMIT_SELL,2.37452034,0.00058072,0.00000344,0.00138031,5/17/2017 1:01:17 AM,5/17/2017 1:05:19 AM
33280765-84dc-4b77-bbe9-8ec9ea5ffd9c,BTC-NBT,LIMIT_BUY,10.85446336,0.00046771,0.00001269,0.00507652,5/28/2017 6:08:41 AM,5/28/2017 6:13:45 AM
9290c3a9-009d-4ab6-99ca-bb29abafe886,BTC-NBT,LIMIT_BUY,260.4534465,0.00058316,0.00037928,0.15171614,5/17/2017 1:10:31 AM,5/17/2017 1:15:29 AM
16d3f625-d32c-4cc6-9a53-7d740cad9de2,BTC-NBT,LIMIT_BUY,578.64981709,0.00059035,0.00084952,0.3398121,5/17/2017 1:20:35 AM,5/17/2017 1:25:39 AM
a2bf5833-4954-4901-8673-701264511273,BTC-NBT,LIMIT_BUY,4.54122513,0.00059603,0.00000674,0.0027011,5/17/2017 2:01:15 AM,5/17/2017 2:06:18 AM
8f99f82a-bac6-41b5-9eda-3c1d4ecb681d,BTC-NBT,LIMIT_SELL,2,0.00059501,0.00000297,0.00119002,5/17/2017 2:25:38 AM,5/17/2017 2:30:48 AM
29ab489e-10d5-4f0b-9cdc-07212a62972a,BTC-NBT,LIMIT_SELL,302.52942495,0.00056561,0.00043041,0.17217019,5/17/2017 2:51:04 AM,5/17/2017 2:56:09 AM
1fb8d5e9-5c43-4fe8-9ad2-5343636e63ed,BTC-NBT,LIMIT_BUY,79.63612375,0.00058978,0.00011344,0.04537666,5/17/2017 2:56:10 AM,5/17/2017 3:01:13 AM
46909202-552b-41d7-8ba3-73c24715c733,BTC-NBT,LIMIT_BUY,4404,0.00057945,0.00637974,2.5518978,5/17/2017 3:01:14 AM,5/17/2017 3:10:23 AM
de50810b-8291-49f4-9db3-69a4eb8cd246,BTC-NBT,LIMIT_SELL,9.0928445,0.00057095,0.00001299,0.00520499,5/17/2017 3:40:52 AM,5/17/2017 3:45:56 AM
